User,Client,"Client Type",Date,Duration,"Type Of Call","External Call Score"
"Laura Knight","Dennis Kelly",Nurse,"2021-11-15 03:05:33",634,Incoming,46
"Laura Knight","Brandon King",Carer,"2021-11-21 04:41:44",261,Incoming,11
"Laura Knight","Gordon Collins",Nurse,"2021-12-28 03:12:43",895,Outgoing,6
"Laura Knight","Ethan Hughes",Nurse,"2021-12-15 06:32:33",143,Incoming,51
"Laura Knight","Jennifer Thompson",Carer,"2021-11-12 02:26:19",806,Incoming,84
"Laura Knight","Alfie Kennedy",Nurse,"2021-12-07 10:20:13",413,Outgoing,3
"Laura Knight","Ashley Holmes",Carer,"2021-11-08 09:08:30",243,Outgoing,60
"Laura Knight","Max Holmes",Carer,"2021-12-10 09:27:53",766,Incoming,78
"Laura Knight","Layla Edwards",Nurse,"2021-12-05 10:10:53",23,Outgoing,81
"Laura Knight","Tanya Campbell",Carer,"2021-11-18 08:25:44",944,Outgoing,21
"Laura Knight","Wayne James",Nurse,"2021-12-31 07:46:31",520,Outgoing,95
"Laura Knight","Tanya Campbell",Carer,"2021-11-14 10:34:11",320,Incoming,95
"Laura Knight","Toby Russell",Nurse,"2021-12-02 07:44:33",991,Outgoing,74
"Laura Knight","Toby Russell",Nurse,"2021-12-31 01:30:51",771,Incoming,39
"Laura Knight","Jackson Ward",Nurse,"2021-11-30 02:03:18",242,Outgoing,80
"Laura Knight","Harrison Davis",Nurse,"2021-11-08 07:37:46",192,Incoming,71
"Laura Knight","Grant Gray",Nurse,"2021-12-05 11:14:56",892,Incoming,54
"Laura Knight","Kelly Graham",Nurse,"2021-11-14 07:00:26",736,Outgoing,81
"Laura Knight","Aaron Morris",Carer,"2021-11-12 03:30:31",343,Outgoing,7
"Laura Knight","Dominic Marshall",Nurse,"2021-12-20 10:53:00",527,Incoming,39
"Laura Knight","Adam Ross",Carer,"2021-11-07 09:14:19",886,Incoming,61
"Laura Knight","Gordon Collins",Nurse,"2021-12-22 03:30:34",8,Outgoing,9
"Laura Knight","Alice Lloyd",Carer,"2021-11-16 05:43:07",880,Outgoing,53
"Laura Knight","Brandon King",Carer,"2021-12-23 07:54:17",784,Incoming,48
"Laura Knight","Grant Gray",Nurse,"2021-11-08 10:30:00",595,Incoming,45
"Laura Knight","Arthur Turner",Nurse,"2021-12-04 07:50:27",725,Outgoing,3
"Laura Knight","Lewis Ellis",Nurse,"2021-11-04 05:24:44",38,Incoming,8
"Laura Knight","Ellie Simpson",Carer,"2021-11-16 04:22:59",127,Incoming,35
"Laura Knight","Jacob Carter",Nurse,"2021-11-26 12:50:02",870,Incoming,93
"Laura Knight","Dominic Marshall",Nurse,"2021-12-10 06:17:31",388,Incoming,36
"Laura Knight","Noah Marshall",Carer,"2021-12-07 06:21:56",494,Outgoing,85
"Laura Knight","Harley Anderson",Nurse,"2021-11-04 10:40:53",747,Outgoing,53
"Laura Knight","Tara Patel",Carer,"2021-12-26 04:52:24",909,Outgoing,70
"Laura Knight","Andy Rose",Carer,"2021-12-18 11:22:11",40,Incoming,19
